Network Id,"No -> El nombre de la red -> tomarlo en cuenta para la separación pero no análisis"
IC Max per Load (kW),"Sí -> Esta es la salida para el análisis de regresión. Es la capacidad de alojamiento"
Constraint per Load,"Depende -> Esta es la salida si quisiéramos hacer un análisis de clasificación. Es el criterio limitante"
IC Volt Variation MT (kW),"No -> Son las restricciones que pudieron limitar o no la capacidad de alojamiento"
IC Volt Variation BT (kW),"No -> Son las restricciones que pudieron limitar o no la capacidad de alojamiento"
IC Voltage Unbalance (kW),"No -> Son las restricciones que pudieron limitar o no la capacidad de alojamiento"
IC Volt Limits (kW),"No -> Son las restricciones que pudieron limitar o no la capacidad de alojamiento"
IC Loading (kW),"No -> Son las restricciones que pudieron limitar o no la capacidad de alojamiento"
IC Fault Current Variation (kW),"No -> Son las restricciones que pudieron limitar o no la capacidad de alojamiento"
OBJECTID Transformer,"No -> Nombre del transformador"
OBJECTID Load,"No -> Nombre de la carga"
Transformer Capacity (kVA),"Sí -> Capacidad del transformador"
ToNodeID Transformer,"No -> Info irrelevante"
ToNodeID Load,"No -> Info irrelevante"
Total Path R (Ω),"No -> redundante"
Total Path X (Ω),"No -> redundante"
Total Path Z (Ω),"Sí -> Se calcula como sqrt(R^2 + X^2)"
Load (kVA),"Sí -> Carga"
Distributed Generation per Load (kW),"Depende -> En la mayoría es cero. Pero si no lo es afecta en el análisis. Si se complica eliminar los elementos que tienen un valor diferente de cero y no tomar en cuenta esta columna"
IC Max per Transfomer (kW),"No -> Es la capacidad de alojamiento total del transformador"
Constraint per Transformer,"No -> Es el criterio limitante total del transformador"
Transformer Load (kVA),"No -> Carga total del transformador"
Number of Load Nodes,"Sí -> Número de cargas alimentadas por el transformador"
Distributed Generation per Transformer (kW),"No -> Generación distribuida"
Distance from substation to Load (m),"Sí -> Distancia de la carga a la subestación"
Distance from transformer to Load (m),"Sí -> Distancia de la carga al transformador"
Max distance from transformer to Load (m),"No -> Distancia mayor entre las cargas al transformador"
IC Reg BW Variation (kW),"No -> Son las restricciones que pudieron limitar o no la capacidad de alojamiento"
